Date,Open,High,Low,Close,Adj Close,Volume
2020-03-12,245.419998,254.860001,237.550003,240.750000,238.611343,2779800
2020-03-13,257.059998,257.859985,233.839996,256.950012,254.667435,2637200
2020-03-16,220.649994,248.210007,209.619995,229.360001,227.322510,1496800
2020-03-17,231.550003,239.979996,225.020004,238.339996,236.222748,1642500
2020-03-18,213.360001,226.289993,191.250000,196.990005,195.240082,3131900
2020-03-19,205.809998,219.240005,200.589996,214.029999,212.128693,1634600
2020-03-20,225.149994,237.320007,215.589996,216.100006,214.180328,2316700
2020-03-23,225.330002,235.300003,222.669998,233.149994,231.078842,1731500
2020-03-24,254.330002,260.529999,250.800003,260.209991,257.898468,1427600
2020-03-25,260.670013,272.339996,251.949997,262.070007,259.741943,1211300
2020-03-26,262.890015,277.140015,261.609985,275.899994,273.449097,1018600
2020-03-27,262.209991,263.709991,251.809998,252.619995,250.375885,1518300
2020-03-30,263.570007,270.130005,260.690002,268.029999,265.649017,1142400
2020-03-31,268.119995,268.589996,259.000000,261.640015,259.315796,881800
2020-04-01,253.130005,257.679993,247.380005,249.009995,246.797958,715700
2020-04-02,243.869995,251.960007,242.250000,247.279999,245.083344,788600
2020-04-03,246.059998,248.000000,242.479996,244.610001,242.437057,571700
2020-04-06,260.000000,272.779999,259.420013,271.130005,268.721466,807600
2020-04-07,280.459991,281.279999,271.000000,272.589996,270.168488,768200
2020-04-08,278.029999,281.339996,274.410004,278.579987,276.105255,891700
2020-04-09,282.220001,285.130005,275.119995,276.809998,274.351013,728900
2020-04-13,274.850006,276.149994,272.010010,274.100006,271.665100,789400
2020-04-14,286.989990,294.760010,285.049988,288.929993,286.363342,1700600
2020-04-15,276.920013,284.540009,275.049988,282.489990,279.980530,1487600
2020-04-16,289.829987,292.549988,286.170013,292.399994,289.802490,1212000
2020-04-17,301.250000,301.429993,293.609985,295.649994,293.023651,899100
2020-04-20,291.649994,298.010010,291.440002,291.579987,288.989777,510100
2020-04-21,286.070007,287.549988,278.570007,281.089996,278.592987,663700
2020-04-22,290.000000,295.470001,288.230011,294.970001,292.349701,596100
2020-04-23,290.940002,297.160004,288.309998,289.399994,286.829163,730500
2020-04-24,289.890015,292.459991,285.970001,291.839996,290.712097,464200
2020-04-27,293.790009,294.760010,290.279999,290.899994,289.775726,689100
2020-04-28,297.589996,297.589996,291.089996,291.420013,290.293732,532000
2020-04-29,296.299988,304.760010,295.350006,303.709991,302.536224,968000
2020-04-30,301.359985,301.529999,287.059998,288.429993,287.315277,846300
2020-05-01,283.859985,283.859985,278.200012,279.059998,277.981506,862800
2020-05-04,279.600006,283.230011,275.959991,283.179993,282.085571,1036900
